compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__TILE__L0
03min 53sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
03min 30sec,1037016 (4.148ms),16397 (1%),12119 (~0%),336 (7%),15 (~0%),0 (~0%),26,1,1,off,1
03min 35sec,279921 (1.196ms),19153 (1%),15665 (~0%),186 (4%),32 (~0%),20 (2%),26,10,1,off,1
03min 40sec,282586 (1.208ms),19218 (1%),15623 (~0%),186 (4%),30 (~0%),20 (2%),30,10,1,off,1
04min 06sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),390,10,1,off,1
03min 48sec,345185 (1.475ms),22981 (1%),23620 (~0%),54 (1%),59 (~0%),30 (3%),26,10,5,off,1
03min 41sec,194641 (0.832ms),18621 (1%),16954 (~0%),186 (4%),32 (~0%),20 (2%),26,10,2,off,1
40min 00sec,,,,,,,30,10,10,flatten,1
40min 00sec,,,,,,,26,10,10,flatten,1
40min 00sec,,,,,,,26,10,10,flatten,390
03min 43sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
03min 41sec,1133319 (4.533ms),16031 (1%),12178 (~0%),206 (4%),14 (~0%),0 (~0%),15,1,1,off,1
03min 34sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),390,1,1,off,1
03min 06sec,1046962 (4.188ms),16462 (1%),12077 (~0%),336 (7%),13 (~0%),0 (~0%),30,1,1,off,1
03min 23sec,282586 (1.208ms),19218 (1%),15623 (~0%),186 (4%),30 (~0%),20 (2%),30,10,1,off,1
03min 31sec,348092 (1.488ms),23046 (1%),23578 (~0%),54 (1%),57 (~0%),30 (3%),30,10,5,off,1
03min 21sec,175472 (0.75ms),26843 (2%),31328 (1%),58 (1%),128 (1%),40 (4%),30,10,10,off,1
03min 18sec,196486 (0.84ms),18686 (1%),16912 (~0%),186 (4%),30 (~0%),20 (2%),30,10,2,off,1
04min 02sec,278107 (1.188ms),27091 (2%),33810 (1%),716 (16%),128 (1%),0 (~0%),390,10,10,off,1
03min 22sec,196486 (0.84ms),18686 (1%),16912 (~0%),186 (4%),30 (~0%),20 (2%),30,10,2,off,1
05min 56sec,175448 (0.756ms),267738 (22%),411085 (17%),80 (1%),3762 (55%),20 (2%),30,410,10,off,1
